What is your current CGPA?,PerformanceLevel,attendance_pct,How many hour do you study daily?,How many hour do you spent daily in social media?,What was your previous SGPA?,merit_scholar,uses_univ_transport,uses_smartphone,has_computer,attends_consultancy,How many hour do you spent daily on your skill development?
3.38,Good,100.0,4,4,2.98,0,0,1,1,1,2
3.15,Good,97.0,9,3,3.7,0,0,1,1,0,5
2.95,Average,80.0,1,2,3.25,0,1,1,1,1,2
3.21,Good,85.0,2,3,3.03,0,1,1,1,0,1
3.18,Good,95.0,2,3,3.1,0,0,1,1,0,1
3.7,Good,98.0,2,3,3.7,1,1,1,1,1,1
4.0,Good,70.0,9,6,4.0,1,1,1,1,1,4
3.45,Good,85.0,1,2,3.18,1,1,1,1,1,1
3.74,Good,100.0,2,3,3.61,1,1,1,1,1,2
3.22,Good,70.0,2,0,3.01,1,0,1,1,0,1
3.36,Good,80.0,2,5,3.26,0,1,1,1,0,2
3.72,Good,100.0,1,2,3.6,1,0,1,1,0,2
3.01,Good,100.0,2,5,3.12,0,0,1,1,0,3
3.93,Good,100.0,4,2,3.93,1,0,1,1,1,2
3.55,Good,95.0,5,6,3.0,1,0,1,1,0,1
2.44,Average,70.0,1,3,1.61,0,0,1,1,1,1
3.15,Good,80.0,1,3,2.79,1,1,1,1,0,1
3.4,Good,98.0,2,3,3.83,0,0,1,0,0,2
3.27,Good,100.0,3,2,3.58,1,1,1,1,1,3
3.19,Good,100.0,3,4,3.39,1,1,1,1,1,2
3.37,Good,100.0,3,2,3.38,1,0,1,1,0,2
3.15,Good,100.0,3,1,3.03,1,0,1,1,1,2
0.0,Poor,100.0,3,1,0.0,0,0,0,1,1,1
3.7,Good,95.0,1,1,3.65,1,1,1,1,1,1
2.69,Average,80.0,3,2,3.18,0,1,1,1,1,1
3.15,Good,100.0,3,2,3.78,1,1,1,1,1,2
3.38,Good,70.0,1,4,2.56,1,1,1,1,0,3
3.1,Good,90.0,2,12,2.94,1,0,0,1,0,0
2.88,Average,77.0,3,4,2.36,0,0,1,1,1,3
3.8,Good,100.0,3,5,3.8,1,0,1,0,1,2
2.43,Average,80.0,0,15,1.53,1,0,1,1,0,0
2.91,Average,80.0,2,5,3.0,0,1,1,1,1,3
2.66,Average,80.0,2,5,2.32,0,1,1,0,1,1
0.0,Poor,90.0,6,4,0.0,1,1,1,1,1,1
3.15,Good,50.0,3,12,3.37,1,0,1,1,1,0
3.37,Good,100.0,2,3,2.89,1,0,1,1,1,1
3.15,Good,90.0,2,2,3.17,1,1,1,1,0,2
2.31,Average,100.0,2,5,2.26,1,1,1,1,0,1
3.65,Good,99.0,5,2,3.65,1,0,1,1,0,1
3.02,Good,96.0,2,1,3.03,1,1,1,1,1,1
3.44,Good,80.0,2,4,3.93,1,1,1,1,1,0
3.09,Good,80.0,4,2,3.0,0,1,1,1,1,2
0.0,Poor,98.0,2,3,0.0,1,1,1,1,1,0
3.45,Good,88.0,8,2,3.45,1,1,1,1,1,2
3.03,Good,100.0,3,1,2.94,1,1,1,1,1,1
3.95,Good,100.0,8,1,3.93,1,1,1,1,0,4
3.84,Good,85.0,1,2,3.86,1,1,1,1,0,2
2.84,Average,100.0,4,2,2.93,0,1,1,1,0,1
3.08,Good,80.0,5,1,3.06,1,0,1,1,1,2
0.0,Poor,100.0,2,7,0.0,1,1,1,1,1,0
3.94,Good,100.0,0,3,3.92,1,1,1,1,1,4
3.53,Good,98.0,2,2,3.17,0,1,1,1,0,1
3.63,Good,95.0,1,3,3.63,1,1,1,1,0,1
3.86,Good,98.0,8,2,3.98,1,0,1,1,1,2
2.8,Average,97.0,6,2,3.39,0,1,1,0,1,3
3.68,Good,90.0,2,3,3.68,1,0,1,0,0,1
3.83,Good,90.0,5,4,3.83,1,0,1,1,1,3
3.74,Good,100.0,3,4,3.64,0,0,1,1,1,2
3.38,Good,100.0,2,1,2.96,1,1,1,1,1,1
3.15,Good,100.0,3,1,2.25,0,1,1,1,1,2
3.8,Good,100.0,5,2,3.8,1,0,1,1,0,2
3.5,Good,90.0,1,5,3.49,1,1,1,1,1,1
3.0,Average,60.0,2,2,2.11,1,1,1,1,0,1
3.42,Good,99.0,3,3,3.42,1,0,1,1,1,1
3.93,Good,99.0,5,6,3.96,1,0,1,1,1,2
3.26,Good,90.0,7,2,2.86,0,1,1,1,1,4
0.5,Poor,60.0,5,4,0.5,0,0,1,0,1,1
3.5,Good,98.0,5,3,3.5,0,0,1,1,1,1
2.52,Average,90.0,1,2,2.52,1,0,1,1,0,1
3.71,Good,98.0,4,2,3.72,0,1,1,1,0,3
3.35,Good,95.0,5,2,2.8,1,0,1,1,1,1
3.99,Good,99.0,3,2,3.98,1,0,1,1,1,1
3.61,Good,100.0,4,3,3.68,0,0,1,1,0,2
2.94,Average,90.0,1,5,3.03,1,0,1,1,0,1
3.18,Good,95.0,3,4,3.34,0,0,1,1,1,1
3.39,Good,100.0,8,2,3.39,1,1,1,1,1,1
3.55,Good,96.0,3,3,3.78,0,1,1,1,1,2
2.97,Average,100.0,2,8,1.05,0,1,1,1,1,8
2.2,Average,85.0,2,4,2.06,0,0,1,1,0,2
3.67,Good,95.0,3,3,3.67,1,0,1,1,0,2
3.78,Good,100.0,5,3,3.78,0,1,1,1,0,3
2.61,Average,75.0,1,1,1.63,1,0,1,1,0,1
3.39,Good,70.0,2,6,3.17,1,0,1,1,1,2
3.91,Good,100.0,2,2,3.82,0,1,1,1,0,3
2.55,Average,100.0,2,4,2.55,0,0,1,0,1,0
3.89,Good,92.0,2,2,3.79,1,1,1,1,1,1
4.0,Good,99.0,2,3,4.0,1,0,1,0,0,0
3.62,Good,85.0,3,2,3.76,0,1,1,1,1,2
3.91,Good,100.0,5,4,3.74,1,0,1,1,1,2
0.0,Poor,98.0,1,2,0.0,1,0,1,1,1,2
3.15,Good,99.0,2,1,3.15,1,1,1,1,1,2
3.2,Good,100.0,2,4,3.38,1,0,1,1,0,2
3.97,Good,90.0,5,3,3.98,0,0,1,0,1,3
2.1,Average,95.0,2,1,2.1,1,0,1,1,1,1
2.25,Average,80.0,3,5,2.72,1,0,1,1,0,1
3.39,Good,98.0,3,3,3.3,1,1,0,1,1,4
3.72,Good,100.0,4,2,4.0,1,0,1,1,1,3
3.1,Good,90.0,2,3,3.1,0,0,1,1,1,2
2.01,Average,90.0,1,3,2.56,1,0,1,1,1,1
3.21,Good,80.0,2,12,3.21,1,1,1,1,0,1
0.0,Poor,95.0,6,2,0.0,1,1,1,1,0,2
3.38,Good,75.0,4,3,3.38,0,0,1,0,1,1
3.15,Good,92.0,3,2,3.15,1,0,1,0,0,1
3.9,Good,95.0,1,4,3.9,0,0,1,1,1,2
3.95,Good,98.0,2,1,3.95,1,1,1,1,1,1
3.03,Good,100.0,3,3,3.03,1,1,1,1,0,1
2.56,Average,60.0,7,5,2.59,0,1,1,1,0,2
0.0,Poor,100.0,3,2,0.0,1,0,1,0,1,2
3.295,Good,99.0,5,4,3.45,1,1,1,1,1,3
3.6,Good,85.0,1,4,3.6,0,1,1,0,0,1
3.53,Good,98.0,6,1,3.53,0,0,1,1,1,5
3.69,Good,99.0,3,2,3.86,1,0,1,1,1,1
2.4,Average,100.0,3,4,3.48,0,1,1,1,1,2
3.77,Good,98.0,2,1,3.7,0,0,1,1,0,6
3.84,Good,100.0,3,1,3.84,0,1,1,1,1,2
3.29,Good,100.0,6,2,3.4,0,1,1,1,1,3
3.43,Good,90.0,4,2,3.43,0,0,1,1,0,1
3.7,Good,100.0,4,2,3.7,1,0,1,0,1,12
3.2,Good,85.0,4,4,3.02,0,1,1,1,1,3
2.98,Average,90.0,2,3,3.48,0,1,1,1,0,2
3.53,Good,90.0,3,2,3.53,1,0,1,1,1,2
3.41,Good,90.0,4,2,3.06,1,1,1,1,0,3
3.9,Good,100.0,2,3,3.9,0,0,1,1,1,1
0.0,Poor,95.0,2,4,0.0,0,0,1,0,1,0
3.37,Good,99.0,3,1,3.19,0,1,1,1,0,4
0.13125,Poor,95.0,4,2,0.13125,0,0,1,1,1,4
3.05,Good,98.0,4,2,3.05,1,0,1,1,0,2
4.0,Good,99.0,3,1,4.0,0,1,1,1,1,1
3.75,Good,98.0,4,3,3.75,1,0,1,1,1,3
3.33,Good,90.0,3,2,3.33,1,0,1,1,0,4
2.81,Average,80.0,4,1,2.81,1,0,1,1,1,2
2.08,Average,90.0,3,4,2.18,1,0,1,1,1,0
0.0,Poor,100.0,4,1,0.0,0,1,1,1,1,2
3.75,Good,70.0,0,3,3.7,0,1,1,0,0,6
3.0,Average,90.0,2,1,3.62,0,0,1,1,1,2
